breed,description
australian kelpie,herding dog australian kelpie intensely loyal devoted duty natural instinct aptitude working sheep whether open fields enclosed yards breed originated collie type dogs imported scotland developed withstand harsh heat dry conditions vast open spaces australia australian kelpie lithe active dog capable untiring work extremely intelligent alert eager unlimited energy loyal alert intelligent foundation stock service weekly brushing regularly energetic eager please alertresponsive medium medium nan
australian shepherd,australian shepherd cowboy’s herding dog choice mediumsized worker keen penetrating gaze eye aussie coats offer different looks including merle mottled pattern contrasting shades blue red ways they’re picture rugged agile movers stock aussies exhibit irresistible impulse herd anything birds dogs kids strong work drive make aussies much dog sedentary pet owner aussies remarkably intelligent quite capable hoodwinking unsuspecting novice owner short isn’t pet everyone you’re looking brainy tireless trainable partner work sport search might end australian shepherd lean tough ranch dog one “only america” stories european breed perfected california way australia fixtures rodeo circuit closely associated cowboy life smart workoriented exuberant herding weekly brushing seasonal energetic eager please alertresponsive medium medium light
australian stumpy tail cattle dog,australian stumpy tail cattle dog australian cattle dog docked tail major structural differences breed type two breeds cattle dogs stumpy tail cattle dogs natural bobtail breed stumpy tail pups born long tails discarded breeding program structural quality rather bred back quality natural bob tails australian stumpy tail cattle dog society united statesdenyse adams chredacds8gmailcomlori graham lgraham1145yahoocomkim mcdonald breezyacresstumpiesgmailcomkevin nicholson nicholsonklnicholsongmailcom australian stumpy tail cattle dog australian cattle dog docked tail naturally bobtailed breed stands square plenty leg length body alert trainable comical foundation stock service weekly brushing occasional energetic easy training alertresponsive medium medium light
australian terrier,australian terriers small sturdy selfconfident terriers known longish torso distinctive coat furnishings around neck forequarters topknot soft silky hair contrasts texture otherwise harsh coat long neck lends dash elegance roughandready terrier dark eyes sparkle keen intelligence coat colors blueandtan solid red sandy aussies move free easy gait working dog alert watchdogs said quick studies training true terriers aussies love digging urge chase small furry critters never left always great fit multidog households aussies want diminutive australian terrier plucky spirited smart—how fit much dog bitty package upbeat lively selfassured aussie approaches life plenty oldtime terrier curiosity grit affectionate courageous spirited terrier weekly brushing infrequent energetic agreeable friendly medium short light
azawakh,ancient hunting hound lean rangy bone structure musculature plainly seen beneath skin smooth sshaped contours deep chest aerodynamic head mark azwakh member sighthound family canine sprinters rely keen vision blazing speed fix course prey ultrafine coat comes several colors patterns overall look leggy hound one elegance fineness don’t fooled tough durable hunter who’s chasing gazelle across scorching sands sahara thousand years tall elegant azawakh west african sighthound originates countries burkina faso mali niger azawakh short fine coat may come color color combinations red clear sand fawn brindled particolor may predominantly white blue black brown head may black mask may white markings legs bib tip tail color marking disqualifications breed befitting heritage azawakh excels companion guardian lure courser united states loyal independent deeply affectionate hound weekly brushing occasional regular exercise independent friendly medium tall light
barbet,defining characteristic rustic mediumsized bird dog dense curly coat covers top large broad head tip curving tail coat comes shades black gray brown fawn sometimes white markings breed’s delightfully shaggy coat amiable nature creates impression muppet come life barbet strong solidlybuilt dog bred centuries keen hunter tireless swimmer barbets intelligent learn new things quickly calm nature easy live long exercise needs met archetypic water dog france barbet rustic breed medium size balanced proportions appears artwork early 16th century profile barbet slightly rectangular substantial head long sweeping tail long dense covering curly hair distinctive beard agile athlete barbet used primarily locate flush retrieve birds cheerful disposition social loyal friendly bright sweetnatured sporting weekly brushing infrequent regular exercise agreeable friendly medium medium light
basenji,basenjis small graceful hounds standing 16 17 inches shoulder recognizable glistening short coat tightly curled tail wrinkled forehead expressive almondshaped eyes convey variety subtle humanlike emotionsbasenjis lovely sight standstill impressive yet fast trot exhibit long smooth strides miniracehorse yes it’s true don’t bark make feelings known odd sound described something chortle yodel basenjis fastidious groom like cats called “cult breed”—small numbers lucky enough one singular devotion basenji africa’s “barkless dog” compact sweetfaced hunter intelligence poise unique beguiling pets best owners meet exercise needs challenge training catlike canine independent smart poised hound occasional bathbrush occasional energetic independent reserved strangers medium medium light
basset fauve de bretagne,basset fauve de bretagne also known fawn colored brittany basset small stocky roughcoated hardy dog energetic fast size fauve gets along well children pets training socialization must fauves get mischief nuisance barkers however know rabbit runs yard give hound “voice” chase breed happy romping field curled next family sofa smart courageous determined basset fauve de bretagne serious hunter easily adaptable different types game terrain equally excellent companion dog cheerful intelligent eager please smart cheerful determined foundation stock service weekly brushing seasonal regular exercise may stubborn outgoing medium short light
basset hound,basset hound stands higher 14 inches shoulder remarkably heavy bone powerful little legs massive paws possesses bigdog strength stamina bassets famous large domed head features extremely long velvety ears mournful eyes wrinkled brow give breed look sad clown built endurance speed basset moves deliberate effortless manner breed’s scenting ability uncanny it’s said among dogs bloodhound’s nose accurate mild agreeable home basset stubborn trail barks loud ringing voice although may wildly demonstrative affections steadfastly loyal among appealing akc breeds endearing instantly recognizable basset hound perennial favorite dog lovers world lowslung lowkey hound sometimes stubborn always charming charming patient lowkey hound 23 times week brushing occasional couch potato independent friendly medium short light
bavarian mountain scent hound,hailing germany bavarian mountain scent hound bayerischer gebirgsschweisshund native german breed’s notable trait outstanding “cold nose” tracking ability nose acute distinguish injured game hunting animals species somewhat lightweight active mediumsized breed devoted owner reserved strangers kennel dog prefers around human family bavarian mountain scent hound calm balanced devoted owner reserved strangers sound selfassured unafraid biddable dog neither shy aggressive loyal versatile reserved strangers foundation stock service weekly brushing regularly regular exercise agreeable reserved strangers medium medium light
beagle,two beagle varieties standing 13 inches shoulder 13 15 inches varieties sturdy solid “big inches” dog folks say come pleasing colors lemon red white tricolor beagle’s fortune adorable face big brown hazel eyes set long houndy ears set low broad heada breed described “merry” fanciers beagles loving lovable happy companionable—all qualities make excellent family dogs wonder years beagle popular hound dog among american pet owners curious clever energetic hounds require plenty playtime beagle excellent hunting dog loyal companion also happygolucky funny and—thanks pleading expression—cute bred hunt packs enjoy company generally easygoing friendly curious merry hound 23 times week brushing seasonal energetic agreeable friendly medium short light
bearded collie,standing 20 22 inches shoulder covered head tail shaggy double coat beardies bear passing resemblance another british favorite old english sheepdog beneath coats beardies lean angular two lavish facial hair shouldn’t obscure characteristic expression dreamy faraway gazethese rambunctious comics handful—but mostly beardies approximately 50 pounds heart energy laughter wellsocialized beardies get nicely animals kids bore easily training must kept interesting outdoorsy families looking sturdy dog share uptempo lifestyle never find affectionate amusing sidekick boisterous charismatic droving dog scotland shaggycoated bearded collie “beardie” friends enjoys outdoor exercise weather bred independent decisionmakers willful always friendly smart bouncy charismatic herding daily brushing seasonal regular exercise independent outgoing medium medium light
beauceron,beaucerons muscular rugged large standing high 275 inches shoulder yet graceful ways balanced dark black coats feature handsome squirrelred accents including red feet give breed french nickname basrouge “red stockings” they’re also seen blackgraytan coat long head well chiseled dark brown eyes project expression breed fanciers describe frank confident they’re novice owners might end owned dominant dog instead way around said welltrained socialized beaucerons levelheaded watchdogs guardians especially good young small defenseless beauceron imposing powerful also remarkably smart spirited versatile herder—imagine border collie’s brain 100pound body especially beloved women dashing sensitive companion protector gentle faithful obedient herding 23 times week brushing frequent needs lots activity easy training reserved strangers medium tall light
bedlington terrier,bedlingtons lithe energetic englishmen crisp curly coat arched back tasseled ears scimitarshaped tail fleecy pearshaped head identifying features oneofakind breed curvy contours indicate there’s sighthound—whippet likely—in family tree bedlingtons move light springy step roused pursuit run like windrollicking charming full fun bedlingtons want family’s center attention known protective loved ones active family looking noshedding lively loyal companion search might end graceful terriers sheep’s clothing bedlington terriers named english mining shire first bred genial housemates alert watchdogs versatile athletes irresistibly cuddly tvtime companions loyal charming frollicking terrier 23 times week brushing nan energetic agreeable alertresponsive medium medium light
belgian laekenois,four closelyrelated belgian herders—the belgian sheepdog malinois tervuren laekenois—the laekenois rarest strong sturdy dog distinguished brethren rough tousled coat comes shades red fawn grayish tones blackening around muzzle points expression keen watchfulness shining dark almondshaped eyesthe belgian laekenois protective master property although observant strangers breed affectionate friendly knows well laekenois coat requires regular brushing occasional bathing working dog needs daily exercise strong agile full life belgian laekenois pronounced lakinwah one four native dogs belgium although similar body temperament malinois shepherd tervuren laekenois differs coat color texture length well region origin affectionate alert intelligent miscellaneous class weekly brushing regularly energetic easy training reserved strangers medium medium light
belgian malinois,belgian malinois squarely built proud alert herders standing 22 26 inches strong wellmuscled elegant bulky there’s honest nofrills look befit dogs built work hard feed breed hallmark proud carriage head coat colors range rich fawn mahogany black ears mask accentuate bright questioning eyes color dark belgian chocolateif ever seen mal perform obedience routine know firsthand smart eager breed problems set though peopleoriented dog underemployed neglected exercise plenty preferably side side adored owner key mal happiness smart confident versatile belgian malinois worldclass worker forges unbreakable bond human partner deny mal activity pleasure company deprive reasons confident smart hardworking herding weekly brushing seasonal energetic easy training reserved strangers medium medium light
belgian sheepdog,stirring silhouette belgian sheepdog conveys elegance muscular determination handsome feature breed exceedingly proud carriage head neck male might stand 26 inches shoulder females smaller dark eyes sparkle questioning intelligence black coat abundant neck’s “collarette” “breeches” hindquarters ways belgian sheepdogs brighteyed bushytailedin sport activity belgian always give 100 percent turn owners tend form special bond eager workaholics one devotee puts belgians “inspire intense loyalty live love great passion” belgian sheepdog highly trainable herder whose versatility intelligence stuff canine legend breed built hard work plenty sensitive souls crave human companionship abhor neglect bright watchful seriousminded herding 23 times week brushing seasonal energetic easy training reserved strangers medium medium light
belgian tervuren,belgian tervuren characterized straight abundant coat elegant muscular frame proudly carried head alert intelligent demeanor insatiable work drive tervuren’s coat furnishings like sporty “collarette” around neck profuse males run larger females“their intelligence high activity level challenge less creative individual may understand breed’s need work” warns one longtime owner don’t get idea tervurens grim mechanical worker drones fact breed takes real delight ability master task owners say mischievous sense humor work whenever tervurens outsmart beloved human elegant agile belgian tervuren bright selfassured herding dog medium size known affectionate possessive loved ones lots hard work challenging play heaven tireless doitall dog courageous alert intelligent herding 23 times week brushing seasonal energetic easy training reserved strangers medium medium light
bergamasco sheepdog,beneath oneofakind coat large muscular shepherd dog ancient pedigree since coat breed’s hallmark let’s take close look bergamasco sheepdog hair three different textures form naturally occurring loose mats “flocks” strands hair woven together creating flat layers felted hair covering body legs flocks provide protection fierce cold wild predators italian alps breed’s ancestral homelandbergamascos bright loyal loving trainable—with dash mountaindog independence take watching loved ones serene vigilance wary strangers properly introduced bergamascos aggressive last resort generally happy kids animals lowmaintenance robustly healthy bergamasco much showstopping hairdo eager please smart stubbornly devoted work bergamascos patient protective independent sociable intelligent herding occasional bathbrush infrequent calm agreeable reserved strangers medium medium light
berger picard,spot berger picard mile away thanks erect ears standing 4 5 inches high wavy fawn brindle coat strong tail tapers distinctive jhook males stand high 26 inches females low 21 inches eyes dark glistening rectangular head furnished shaggy eyebrows beard mustache— image sagacious worldly frenchmanthe berger picard ideal companion athletic owners rugged constitution agility boundless energy make eager partners kinds sports games outdoor pastimes exercise must prolonged idleness neglect likely lead sensitive supersmart dogs destructive behavior berger picard lanky herding dog strong bone sturdy build picards spent centuries takecharge independent problemsolvers early socialization positive training necessary cope stubborn streak loyal goodnatured observant herding occasional bathbrush seasonal needs lots activity easy training alertresponsive medium medium light
bernese mountain dog,bernese mountain dog large sturdy worker stand 27 inches shoulder thick silky moderately long coat tricolored jet black clear white rust distinctive markings coat face breed hallmarks combined intelligent gleam dark eyes add berner’s aura majestic nobility hardy dog thrives cold weather berner’s brain brawn helped multitask farms pastures switzerlandberners get along entire family particularly gentle children often become attached one lucky human berners imposing threatening maintain aloof dignity strangers big powerful built hard work bernese mountain dog also strikingly beautiful blessed sweet affectionate nature berners generally placid always romp owner live please goodnatured calm strong working 23 times week brushing frequent energetic easy training reserved strangers short tall medium
bichon frise,goodsize bichon stand shade foot tall shoulder breed’s glory white hypoallergenic coat plush velvety touch featuring rounded head hair sets large dark eyes black leathers nose lipsbichons adaptable companions get well dogs children alert curious bichons make nice little watchdogs—but lovers fighters operate assumption strangers friends haven’t met yet confidence size make ideal city dogs bichons train nicely enjoy performing loved ones finally there’s happygolucky bichon personality draws smiles hugs wherever go small sturdy resilient bichon frise stands among world’s great “personality dogs” since antiquity irresistible canine comedians relied charm beauty intelligence weather history’s ups downs playful curious peppy nonsporting specialtyprofessional infrequent regular exercise agreeable outgoing medium short light
biewer terrier,biewer terrier pronounced beaver like little dam building animals dedicated loyal family member friend meet uncommon met smile happygolucky dog although constant barker alert company larger life personality lighthearted childlike whimsical attitude keep entertained hours spite small stature hearty athletic able keep best long walks hikes competing agility ring biewer terrier elegant longhaired tricolored toy terrier whose purpose life love loved maintain charming whimsical attitude well adulthood carrying around toy two surprising intelligent devoted amusing miscellaneous class 23 times week brushing nan calm eager please outgoing long short light
black and tan coonhound,black tans amazingly sensitive nose long velvety ears sweet disposition coalblack coat features rich tan accents including distinctive “pumpkin seeds” keenly expressive eyes big strong hounds goodsize male stand 27 inches shoulder cover ground effortless eager stridesbts sociable hounds lonely bt serenade neighborhood loud mournful “music” bts keep pace active family also hog sofa hours end hounds hounds passing squirrel arouse bt prey drive time flat strong leash sturdy fence musthaves bts might much hound lifestyle every owner large athletic hunters work nights black tan coonhounds friendly easygoing hounds love company snoozy fireside tenacious trail wily raccoon hound real american original easygoing bright brave hound weekly brushing seasonal regular exercise independent friendly medium tall light
black russian terrier,what’s word we’re looking imposing massive majestic plain “big” brawny guard dog siberian steppes tip scales 140 pounds stand high 30 inches shoulder they’re much taller huge brickshaped head considered tousled allblack coat warm enough allow brts patrol coldest habitable places earth old expression “he moves well big guy” applies nimblefooted giant black russian terrier large immensely powerful worker heavy bone coarse allblack coat brts known courage confidence intelligence bred guard protect naturally aloof strangers intelligent calm powerful working daily brushing seasonal energetic easy training reserved strangers medium tall medium
bloodhound,bloodhounds large substantial dogs standing 23 27 inches shoulder weighing 110 pounds famous features long wrinkled face loose skin huge drooping ears warm deepset eyes complete expression solemn dignity coat colors black tan liver tan red powerful legs allow bloodhounds scent miles punishing terrainas pack dogs bloodhounds enjoy company including dogs kids easygoing nose sometimes lead trouble strong leash long walks places enjoy sniffing around recommended bloodhounds droolers obedience training sensitive sleuths challenge world famous “sleuth hound” one thing better creature earth find people lost hiding offduty bloodhound among canine kingdom’s docile citizens he’s relentless stubborn scent friendly independent inquisitive hound weekly brushing seasonal regular exercise independent alertresponsive medium tall medium
bluetick coonhound,blueticks speedy compact nocturnal hunters named mottled “ticked” blackandblue pattern glossy coat large male top 27 inches 80 pounds females smaller blueticks wellmuscled sleek racy never chunky clumsy baying bawling chopping bark blueticks might cacophonous coon hunters it’s music nightthe droopyeared charm blueticks irresistible crave affection deeply devoted provide blueticks tremendous prey drive neglected underemployed coonhounds outlet hardwired impulses develop problem behaviors like serenading neighbors loud mournful “music” sleekly beautiful bluetick coonhound sweet affectionate charmer might enjoy snoozing shade pursuit quarry relentless bold singleminded offthecharts prey drive must channeled smart devoted tenacious hound weekly brushing seasonal energetic agreeable friendly medium medium light
boerboel,there’s nofrills nononsense quality sleekcoated avenger might stand high 27 inches shoulder weigh much broad blocky head powerful jaws thick muscles neck rump mark descendant ancient “molloser” dog family foundation today’s mastifftype breeds motion boerboel might agile mastiff typesthe imposing boerboel devoted protecting people places loves training socialization begin early pup becomes dominant adult trainable versatile breed eager spend time adored humans still boerboel might way much dog novice owner handle boerboels intimidating discerning guardians home family learned trade protecting remote south african homesteads ferocious predators dominant confident also bright eager learn confident intelligent calm working occasional bathbrush occasional calm agreeable reserved strangers short tall heavy
bohemian shepherd,bohemian shepherd intelligent lively quick athletic breed enthusiastically welcomes activity introduced making breed rather versatile succeed many arenas agility dog dancing schutzhund search rescue nose work tracking pastoral work obedience therapy dogs service dogs breaking fields coursing dock diving endurance tests bohemian shepherd makes excellent family dog due devotion family members adoration children breed loves family also well nonhuman members family raised bohemian shepherd club north americaemail bscnainfogmailcom bohemian shepherd intelligent lively quick athletic breed enthusiastically welcomes activity introduced making breed rather versatile friendly devoted alert intelligent foundation stock service occasional bathbrush occasional regular exercise easy training alertresponsive medium medium light
bolognese,bolognese small stocky squarely built rather serene inactive devoted master people shy towards strangers warm quickly properly socialized prone separation anxiety bolognese well alone long periods time would illsuited people 95 workday bolos old breed known royals noblemen roman times given precious gifts wealthy powerful small companion breed originating italy bolognese calm faithful dog long fluffy purewhite coat playful easygoing love people playful easygoing devoted foundation stock service 23 times week brushing infrequent calm agreeable friendly medium short light
border collie,borders athletic mediumsized herders standing 18 22 inches shoulder overall look muscular nimble worker unspoiled passing fads rough coat smooth coat come variety colors patternsthe almond eyes focus intelligent expression—an intense gaze border’s famous “herding eye” breed hallmark move borders among canine kingdom’s agile balanced durable citizensthe intelligence athleticism trainability borders perfect outlet agility training job perform like agility—or herding obedience work—is key border happiness amiable among friends may reserved strangers remarkably bright workaholic border collie amazing dog—maybe bit amazing owners without time energy means keep occupied energetic dogs settle cuddle time workday done affectionate smart energetic herding 23 times week brushing seasonal needs lots activity eager please reserved strangers medium medium light
border terrier,border terriers standing 11 16 inches shoulder easy recognize among small terriers unique head shape—the breed “otter head” fanciers say another distinguishing trait longer leg small terriers wire coat grizzle tan blue tan wheaten redborders described “hard nails” working home they’re goodtempered affectionate trainable borders love exploring outdoors make fine childhood playmates bred country dogs borders adapt well city life—as long get plenty exercise borders tend get along dogs hunting instincts aroused cats squirrels cross path admirers upbeat agile border terrier cherish breed’s reputation tough nofrills working terrier plucky happy affectionate dogs popular pets town country wiry coat easy keeper affectionate happy plucky terrier weekly brushing occasional regular exercise easy training friendly medium short light
borzoi,borzoi large elegant sighthounds mature male stands least 28 inches shoulder weighs 75 105 pounds females smaller beneath luxurious silky coat borzoi construction follows ancient greyhound template known russian wolfhound borzoi bred swift tough enough pursue pin ferocious lupine quarryin quiet catlike way stubborn training best accomplished patience consistency good humor affectionate family dogs borzoi nonetheless bit dignified wholeheartedly enjoy lot roughhousing sight cat squirrel run quickly stir pursuit instinct fencedin running room must among impressively beautiful dogs aristocratic borzoi cherished calm agreeable temperament full stride princely package strength grace glamour flying 35 40 miles per hour affectionate loyal regally dignified hound weekly brushing seasonal energetic independent alertresponsive medium tall light
boston terrier,boston terriers compact shorttailed wellbalanced little dogs weighing 25 pounds stylish “tuxedo” coat white either black brindle seal black red cast viewed sun bright light head square muzzle short large round eyes shine kindness curiosity mischief ever alert surroundings bostons move jaunty rhythmic stepit’s safe bet breed named city—the havanese brussels griffon instance—will make excellent urban pet bostons exception sturdy portable peopleoriented always brisk walk park outdoor cafe bright dog natural gift comedy dapper bostonian steady source smiles boston terrier lively little companion recognized tight tuxedo jacket sporty compact body friendly glow big round eyes impeccable manners earned nickname “the american gentleman” friendly bright amusing nonsporting weekly brushing infrequent regular exercise eager please outgoing medium short light
